Word,Type,Original,Translated
wife,Monoseme,77.61001063979455,89.65630196592623
opportunity,Monoseme,89.16057099078245,86.71588352552229
employee,Monoseme,88.02441496910382,86.46555355505399
dictionary,Monoseme,78.61898149446031,85.1163312845357
income,Monoseme,85.63234706655861,87.65075970910578
artist,Monoseme,79.9986362404974,92.35686259233235
emotion,Monoseme,88.21870975400773,85.98506017749864
equipment,Monoseme,84.23787161180196,84.0275413127846
kitchen,Monoseme,83.23372216275091,90.89050244760301
hotel,Monoseme,80.94908251188056,89.70736874433389
achieve,Monoseme,87.74233135215017,92.56094904843239
enable,Monoseme,90.08555175967207,91.97940943966907
compute,Monoseme,87.48992227322685,92.13162897782726
deserve,Monoseme,88.15501377362187,89.44806159260271
compete,Monoseme,90.62244807638753,86.91862052946902
resemble,Monoseme,88.31452737701021,84.27120990237208
flee,Monoseme,87.85072294668109,88.59778846706423
cooperate,Monoseme,88.89715026103435,90.51310459598102
await,Monoseme,89.5945243830769,92.8951247087104
detect,Monoseme,85.97441602968402,90.39840051410675
control,Inter-class polyseme,91.25680714133702,82.82098376235858
force,Inter-class polyseme,91.83140872066544,80.29262533845119
study,Inter-class polyseme,79.52680115983014,91.61194592855126
work,Inter-class polyseme,90.02305499233805,85.04542975334395
act,Inter-class polyseme,91.03221897531017,86.90684676521238
place,Inter-class polyseme,92.32466019488446,80.74745680351444
change,Inter-class polyseme,90.27055704483408,89.33486582842316
plan,Inter-class polyseme,87.86207241796757,86.92267433708878
attempt,Inter-class polyseme,89.8419423786064,91.13442414427251
claim,Inter-class polyseme,91.47973682443165,86.60455123601416
face,Inter-class polyseme,89.89270293480898,86.93828664292178
fire,Inter-class polyseme,82.99147866157224,87.54465101903659
share,Inter-class polyseme,88.17799888278968,84.24862233403074
answer,Inter-class polyseme,83.78243522979872,90.89483208570681
record,Inter-class polyseme,85.3040877124938,84.74788244818164
end,Inter-class polyseme,91.04414847165378,81.16143213095988
list,Inter-class polyseme,88.8812545975556,87.6133837343263
result,Inter-class polyseme,89.17720948127582,88.76342023621154
range,Inter-class polyseme,91.0575124902703,84.60298779981139
cost,Inter-class polyseme,90.32055645728107,90.7265364470111
life,Intra-class polyseme,88.58959147861009,82.38847176197622
section,Intra-class polyseme,85.06371136436533,87.27927142969799
thing,Intra-class polyseme,85.78111028028351,86.03486369065156
cell,Intra-class polyseme,77.58015118948926,82.17583755636332
feeling,Intra-class polyseme,84.0978433556664,88.84012467128528
moment,Intra-class polyseme,88.85045262729398,86.93802779343333
job,Intra-class polyseme,90.62794377099596,85.41600173945754
child,Intra-class polyseme,82.72156518681493,88.78041060601714
purpose,Intra-class polyseme,90.85266111519508,84.64509372230265
problem,Intra-class polyseme,88.28006580877276,87.88467328546837
accept,Intra-class polyseme,90.9519787910932,88.50091631809973
come,Intra-class polyseme,88.54575112354053,87.41094109878254
grow,Intra-class polyseme,88.3959786106337,90.18298614821552
recognize,Intra-class polyseme,89.17919561643198,89.02097568937322
appear,Intra-class polyseme,94.71411632129889,87.69104777955137
take,Intra-class polyseme,89.93691305837558,89.97947513436279
think,Intra-class polyseme,80.46771365339931,96.72144333257398
follow,Intra-class polyseme,92.81045113811402,84.26744386816638
serve,Intra-class polyseme,93.83603736962748,88.60148769244117
apply,Intra-class polyseme,89.64894432957587,91.06687690141732
