Word,Type,Original,Translated
wife,Monoseme,68.7832244604235,91.99202960280617
opportunity,Monoseme,79.13971633469839,92.35391778692926
employee,Monoseme,74.22064109883028,88.98993399271093
dictionary,Monoseme,78.64518127003588,91.83405720067958
income,Monoseme,74.52238246973116,88.26372995801408
artist,Monoseme,72.5989083167077,92.62941614772204
emotion,Monoseme,75.93127975677014,88.23959855139842
equipment,Monoseme,71.8523970121122,92.92051127116848
kitchen,Monoseme,69.48490807981857,92.53455159451727
hotel,Monoseme,70.70606931875918,90.26592596574042
achieve,Monoseme,74.20391123053525,93.73467863013526
enable,Monoseme,78.69818394167278,96.73562915757498
compute,Monoseme,79.50729904184611,90.3020712378443
deserve,Monoseme,77.34946857748078,92.86758835281924
compete,Monoseme,79.17033045414814,90.72508512880883
resemble,Monoseme,78.87676131800316,93.54380158181507
flee,Monoseme,77.19566432904557,90.11292239003305
cooperate,Monoseme,78.71134884459315,98.45711181761337
await,Monoseme,81.89715639793302,93.76323485983829
detect,Monoseme,77.56349914827541,90.76750900575658
control,Inter-class polyseme,75.38300368346276,91.32478862051464
force,Inter-class polyseme,80.72155084514677,90.10556030650534
study,Inter-class polyseme,73.26107353498473,94.91469893563092
work,Inter-class polyseme,73.92644140766991,93.01276627219335
act,Inter-class polyseme,80.18314095292524,89.56179880538197
place,Inter-class polyseme,79.01768931629016,88.01201865856893
change,Inter-class polyseme,73.93811073028435,94.0228605478964
plan,Inter-class polyseme,78.21348024492445,92.3863838376499
attempt,Inter-class polyseme,75.57544523560794,97.12402589296535
claim,Inter-class polyseme,76.57424218758075,93.45488281161516
face,Inter-class polyseme,80.78568206109104,92.00921587012876
fire,Inter-class polyseme,73.20146042577012,88.112224056555
share,Inter-class polyseme,78.44831932852992,91.65796791068077
answer,Inter-class polyseme,67.12427149252784,91.9504501250487
record,Inter-class polyseme,77.57077400173654,89.58961460660306
end,Inter-class polyseme,75.50451301209898,87.88349811856231
list,Inter-class polyseme,73.21222986981743,94.75591758921468
result,Inter-class polyseme,83.52914401067004,96.26624267726169
range,Inter-class polyseme,79.46550266075403,92.15491615029853
cost,Inter-class polyseme,71.92647241916265,90.92980586104936
life,Intra-class polyseme,69.31534453837426,89.94877514854596
section,Intra-class polyseme,79.8952309638681,91.09216621692867
thing,Intra-class polyseme,71.03872292058348,88.06551629272195
cell,Intra-class polyseme,77.62396841229571,96.52400583772994
feeling,Intra-class polyseme,73.15645686730312,91.16746640840122
moment,Intra-class polyseme,77.84207235002717,91.77748869325053
job,Intra-class polyseme,71.9597200072423,90.30334986176608
child,Intra-class polyseme,70.8176310165693,90.4605737940071
purpose,Intra-class polyseme,74.56745398255964,93.02200730981144
problem,Intra-class polyseme,67.55408953073464,95.72863650505352
accept,Intra-class polyseme,75.84106514867841,94.39628254430393
come,Intra-class polyseme,74.43996482729577,91.70280785679444
grow,Intra-class polyseme,80.3341186533492,92.67160012949151
recognize,Intra-class polyseme,74.83575924005268,92.3039070267672
appear,Intra-class polyseme,77.5528649585533,96.69762942545901
take,Intra-class polyseme,77.96275248445473,98.32310187225855
think,Intra-class polyseme,70.37375885619365,92.2774870196685
follow,Intra-class polyseme,82.21596087533104,91.54882804376702
serve,Intra-class polyseme,83.62184020466243,94.28016104212654
apply,Intra-class polyseme,80.86785947210863,95.71905893120645
